location,latitude,longitude,price
Brooklyn,40.69286,-74.002876,2865000.0
Brooklyn,40.63092,-74.026543,1150000.0
Brooklyn,40.653252,-73.973061,580000.0
Brooklyn,40.687244,-73.968185,915000.0
Brooklyn,40.656162,-73.935303,580000.0
Brooklyn,40.689465,-73.926964,1495000.0
Brooklyn,40.637455,-73.888924,615000.0
Brooklyn,40.643459,-74.013832,1495000.0
Brooklyn,40.621101,-73.969231,380000.0
Brooklyn,40.67963,-73.908051,450000.0
Brooklyn,40.667301,-73.983627,3680000.0
Brooklyn,40.6605,-73.89489,1225000.0
Brooklyn,40.725758,-73.950035,1.0
Brooklyn,40.65316,-73.922157,50000.0
Brooklyn,40.589794,-73.955124,1165000.0
Brooklyn,40.644634,-73.982475,545000.0
Brooklyn,40.581554,-73.96476,650000.0
Brooklyn,40.589058,-73.950981,1.0
Brooklyn,40.586285,-73.920982,520000.0
Brooklyn,40.638409,-74.01236,1550000.0
Brooklyn,40.672173,-73.877747,400000.0
Brooklyn,40.641132,-73.963173,400000.0
Brooklyn,40.694725,-73.998421,700000.0
Brooklyn,40.659496,-73.990807,1225000.0
Brooklyn,40.690624,-73.914742,1675000.0
Brooklyn,40.698002,-73.915695,1700000.0
Brooklyn,40.604382,-73.975883,700000.0
Brooklyn,40.63871,-74.028069,345000.0
Brooklyn,40.673409,-73.979843,969139.0
Brooklyn,40.628136,-73.992325,450000.0
Brooklyn,40.614845,-73.946587,179000.0
Brooklyn,40.600689,-73.933411,190000.0
Brooklyn,40.598202,-73.995903,294060.0
Brooklyn,40.648865,-73.944962,260000.0
Brooklyn,40.684231,-73.997635,1925000.0
Brooklyn,40.715229,-73.941475,400000.0
Brooklyn,40.681091,-74.010117,2282500.0
Brooklyn,40.62426,-73.943771,830000.0
Brooklyn,40.691975,-73.937622,835000.0
Brooklyn,40.618847,-73.984612,945000.0
Brooklyn,40.653114,-73.915619,650000.0
Brooklyn,40.679508,-73.992722,3300000.0
Brooklyn,40.617493,-73.97184,1300000.0
Brooklyn,40.631245,-73.935272,550000.0
Brooklyn,40.611923,-73.978912,187500.0
Brooklyn,40.693913,-73.957718,377000.0
Brooklyn,40.613934,-74.031754,1140000.0
Brooklyn,40.631271,-73.97142,332000.0
Brooklyn,40.643612,-74.01284,1800.0
Brooklyn,40.613712,-74.031418,770000.0
Brooklyn,40.668831,-73.950333,10000.0
Brooklyn,40.696358,-73.992371,2650000.0
Brooklyn,40.685383,-74.00193,3325000.0
Brooklyn,40.683823,-73.944298,2350000.0
Brooklyn,40.670151,-73.884453,570000.0
Brooklyn,40.685993,-73.988068,1475000.0
Brooklyn,40.628502,-73.931145,725000.0
Brooklyn,40.67207,-73.88858,610000.0
Brooklyn,40.615372,-73.916779,793100.0
Brooklyn,40.614376,-73.939865,900000.0
Brooklyn,40.672974,-73.90509,30000.0
Brooklyn,40.594292,-73.928375,824999.0
Brooklyn,40.604092,-73.941864,959000.0
Brooklyn,40.671902,-73.955521,1630000.0
Brooklyn,40.70303,-73.990768,2950000.0
Brooklyn,40.597065,-73.9636,1850000.0
